# T P mol abs
2.608053691275167694e+03 2.173148941872779687e+03 2.023547379293804253e+27 8.015048616674909088e-01
2.616778523489932923e+03 2.306433049264106103e+03 2.140528797732814221e+27 8.156088509439859413e-01
2.625503355704698151e+03 2.447335354215170810e+03 2.263692369291560882e+27 8.292980034898665975e-01
2.634228187919463380e+03 2.596263536506959099e+03 2.393338856801953280e+27 8.425196595300243896e-01
2.642953020134228154e+03 2.753645768958173903e+03 2.529782762917961703e+27 8.552257334230867203e-01
2.651677852348993383e+03 2.919931679213500502e+03 2.673352936023554716e+27 8.673737760671829111e-01
2.660402684563758157e+03 3.095593352530472657e+03 2.824393201889067124e+27 8.789278961195643447e-01
2.669127516778523386e+03 3.281126377052042699e+03 2.983263022030998913e+27 8.898594830473891548e-01
2.677852348993288615e+03 3.477050933090944909e+03 3.150338179752529050e+27 9.454015959737878116e-01
2.686577181208053844e+03 3.683912927992420464e+03 3.326011494865188660e+27 9.517877453568541757e-01
2.695302013422819073e+03 3.902285178181797164e+03 3.510693568114552771e+27 9.575592985610931196e-01
2.704026845637583847e+03 4.132768640044296262e+03 3.704813556355749439e+27 9.700514018882265832e-01
2.712751677852349076e+03 4.375993691325649706e+03 3.908819979547474198e+27 9.739006488307019316e-01
2.721476510067113850e+03 4.632621464782927433e+03 4.123181560655588736e+27 9.773094754369485715e-01
2.730201342281879079e+03 4.903345235857598709e+03 4.348388099581042032e+27 9.803205895984919982e-01
2.738926174496644308e+03 5.188891866183796083e+03 4.584951382248986415e+27 9.829753037920676562e-01
2.747651006711409536e+03 5.490023304787676352e+03 4.833406126019494994e+27 9.853127456877865953e-01
2.756375838926174765e+03 5.807538148876118612e+03 5.094310962603420605e+27 9.873692974617178653e-01
2.765100671140939539e+03 6.142273266155330020e+03 5.368249459689752942e+27 9.891782538327619223e-01
2.773825503355704768e+03 6.495105480663275557e+03 5.655831182514660270e+27 9.907696738468180220e-01
2.782550335570469542e+03 6.866953324142310521e+03 5.957692796625337353e+27 9.921703916022630576e-01
2.791275167785234771e+03 7.258778855022290372e+03 6.274499213116039232e+27 9.934041468412916354e-01
2.800000000000000000e+03 7.671589547126461184e+03 6.606944777636340308e+27 1.000000000000000000e+00
