# T P mol abs
2.672268907563025095e+03 3.350444219716128373e+03 3.604645710206718998e+27 7.801204352172370626e-01
2.684873949579831788e+03 3.642644188824297544e+03 3.899146334602498904e+27 7.980991618892788741e-01
2.697478991596638480e+03 3.958636275781630047e+03 4.215727410909122208e+27 8.153892355559371197e-01
2.710084033613445172e+03 4.300235556869782158e+03 4.555924432919145019e+27 8.319062146068003649e-01
2.722689075630251864e+03 4.669386755530624214e+03 4.921373936382316663e+27 8.475799266952294131e-01
2.735294117647058556e+03 5.068172798143815271e+03 5.313819882902522333e+27 8.623546873432651472e-01
2.747899159663865248e+03 5.498823872556029528e+03 5.735120418944820747e+27 8.761888300505856764e-01
2.760504201680671940e+03 5.963727013695397545e+03 6.187255027982781918e+27 8.890538912926775339e-01
2.773109243697478632e+03 6.465436241410779076e+03 6.672332094336543157e+27 9.009337383907696228e-01
2.785714285714285779e+03 7.006683276487735384e+03 7.192596897775807661e+27 9.118238183924847196e-01
2.798319327731092471e+03 7.590388861608633306e+03 7.750440058489026889e+27 9.217305933294563935e-01
2.810924369747899163e+03 8.219674714844579285e+03 8.348406452552333135e+27 9.306711426032687751e-01
2.823529411764705856e+03 8.897876144087525972e+03 8.989204618566857284e+27 9.386728612103036884e-01
2.836134453781512548e+03 9.628555351654669721e+03 9.675716676674911555e+27 9.457731511050680995e-01
2.848739495798319240e+03 1.041551545911934409e+04 1.041100878171040969e+28 9.520189805220699020e-01
2.861344537815125932e+03 1.126281528324428655e+04 1.119834213278900582e+28 9.574661727264252020e-01
2.873949579831932624e+03 1.217478489471176181e+04 1.204118456219764873e+28 9.621782935325510211e-01
2.886554621848739771e+03 1.315604199216054985e+04 1.294322272700109076e+28 9.662250500354243599e-01
2.899159663865546463e+03 1.421150912485005392e+04 1.390837492734443131e+28 9.696801952479154885e-01
2.911764705882353155e+03 1.534643179807522392e+04 1.494080457599313077e+28 9.726190417884588157e-01
2.924369747899159847e+03 1.656639749625335025e+04 1.604493434421778250e+28 9.751157942082553376e-01
2.936974789915966539e+03 1.787735565939085427e+04 1.722546100969503150e+28 9.772409798940290271e-01
2.949579831932773232e+03 1.928563864941583597e+04 1.848737103266030451e+28 9.790592666227928564e-01
2.962184873949579924e+03 2.079798374362905815e+04 1.983595688711014579e+28 9.806278947455994155e-01
2.974789915966386616e+03 2.242155619327878230e+04 2.127683417440969791e+28 9.819958411889042615e-01
2.987394957983193308e+03 2.416397338600515286e+04 2.281595954721417623e+28 9.832037046436888916e-01
3.000000000000000000e+03 2.603333015162372249e+04 2.445964947215996834e+28 9.842841920627574126e-01
